Date,Open,High,Low,Close,Volume,Market Cap
Jan-17-2023,0.021276456074812045,0.021435782907485476,0.020739534239505544,0.020782566661287374,34125.756448739034,23088255.463676482
Jan-16-2023,0.023347640662531467,0.023864007592989248,0.02075775067894635,0.021091822610910534,47837.74954450088,23742592.356938165
Jan-15-2023,0.01957704126845659,0.025113164762588985,0.01957704126845659,0.02356898820010692,38868.34116859703,22920709.4790455
Jan-14-2023,0.020923375446328205,0.020955133359531863,0.01949274834858132,0.019627914943938285,27224.760762674825,22141548.574355885
Jan-13-2023,0.01950727592148556,0.02131137048306967,0.019024970978167088,0.020631935068771274,30705.538232251743,21722127.01090003
Jan-12-2023,0.019209331656339843,0.01978404056510536,0.019031668546997803,0.019250866441386363,26036.867726999564,21298812.639321987
Jan-11-2023,0.019542139027709668,0.019609379759018185,0.018010660345406312,0.019233522049612373,23397.77254600392,20900278.79088829
Jan-10-2023,0.01819303908800927,0.031268463147176476,0.01787130717102816,0.019593657413329225,22595.408615757042,20591379.668139912
Jan-09-2023,0.018855738636314665,0.018990690013132507,0.017923432977217053,0.017958182758126873,29090.02308485243,20353797.5152815
Jan-08-2023,0.018645407057405014,0.0189202156583513,0.018294416340959505,0.018851499438338415,30087.93335639106,20388509.0803511
Jan-07-2023,0.01890234314698991,0.019336386781309726,0.018241867519636537,0.018412389521615204,24636.905136855334,20675326.45120522
Jan-06-2023,0.019156530516406783,0.019310584083941706,0.018514540276539017,0.018860584405972682,25336.30044098432,20738074.12308344
Jan-05-2023,0.019173531567905147,0.019385942316980233,0.018674667531637747,0.019248190882735085,25981.277097902097,20808272.873053953
Jan-04-2023,0.018901661735517376,0.019287941769364953,0.0186405077759214,0.01897073828282117,21044.639542955138,20794542.535496518
Jan-03-2023,0.01887862592167007,0.019109078603366907,0.01819335857378206,0.018967791978861427,23281.766796875,20386362.250064332
Jan-02-2023,0.01828941149827873,0.021619139176699765,0.018256018398771806,0.019052170819767796,27865.97618950738,20546908.538178887
Jan-01-2023,0.018203876119804053,0.018528400392451905,0.017806314559775122,0.018475426088205,26047.649145851672,19860255.710554432
