timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.A,volume_transparency.B,volume_transparency.D
2021-09-04T00:00:00Z,0.35272519,0.36744110,0.34218595,0.35358797,9725658.70,0.34952500,0.36777500,0.34210000,0.35302500,2276120.02,2276120,4894526,2555011
2021-09-03T00:00:00Z,0.35912809,0.36824174,0.32626967,0.35113165,11422460.70,0.35967500,0.36867500,0.32375000,0.34952500,4188554.62,4188554,3879740,3354166
2021-09-02T00:00:00Z,0.35725499,0.37138715,0.34585536,0.35888400,9142711.10,0.35875000,0.37187500,0.34780000,0.35967500,2662689.59,2662689,3809862,2670159
2021-09-01T00:00:00Z,0.32369259,0.36870408,0.31783222,0.35702530,11712161.87,0.32062500,0.36765000,0.31347500,0.35875000,3845737.27,3845737,6152900,1713524
2021-08-31T00:00:00Z,0.34032158,0.36388745,0.31797419,0.32277937,13503460.62,0.33907500,0.36537500,0.31800000,0.32037500,4665601.51,4665601,5607246,3230612
2021-08-30T00:00:00Z,0.36203248,0.39915422,0.33481669,0.33847803,8638417.43,0.36212500,0.39890000,0.33477500,0.33840000,5549516.47,5549516,,3088900
2021-08-29T00:00:00Z,0.34831065,0.38977791,0.33203651,0.36244344,6541057.17,0.34822500,0.38980000,0.33200000,0.36255000,4590099.71,4590099,,1950957
2021-08-28T00:00:00Z,0.30003159,0.36920080,0.29993219,0.34849318,10617281.27,0.30000000,0.36900000,0.29990000,0.34845000,7895095.50,7895095,,2722185
2021-08-27T00:00:00Z,0.25902675,0.30525754,0.24995926,0.30000896,7209908.30,0.25887500,0.30500000,0.24992500,0.29997500,5797397.11,5797397,,1412511
2021-08-26T00:00:00Z,0.28667906,0.28865693,0.23720654,0.25916027,5219416.35,0.28660000,0.28847500,0.23712500,0.25887500,3581071.41,3581071,,1638344
2021-08-25T00:00:00Z,0.27411006,0.29328650,0.25555146,0.28641076,4475036.46,0.27420000,0.29310000,0.25565000,0.28635000,3048931.32,3048931,,1426105
2021-08-24T00:00:00Z,0.31360470,0.31904066,0.26580889,0.27418018,5343716.58,0.31360000,0.31900000,0.26585000,0.27420000,3661599.58,3661599,,1682116
2021-08-23T00:00:00Z,0.31285000,0.32200000,0.29000000,0.31362500,4491603.09,0.31285000,0.32200000,0.29000000,0.31362500,3339651.49,3339651,,1151951
2021-08-22T00:00:00Z,0.27775000,0.33100000,0.27500000,0.31322500,8348125.80,0.27775000,0.33100000,0.27500000,0.31322500,5622752.09,5622752,,2725373
2021-08-21T00:00:00Z,0.24237500,0.30052500,0.23755000,0.27745000,5475172.42,0.24237500,0.30052500,0.23755000,0.27745000,4547782.83,4547782,,927389
2021-08-20T00:00:00Z,0.23207500,0.25927500,0.23000000,0.24205000,3819490.93,0.23207500,0.25927500,0.23000000,0.24205000,2552816.63,2552816,,1266674
2021-08-19T00:00:00Z,0.21712500,0.24137500,0.20860000,0.23182500,4599236.68,0.21712500,0.24137500,0.20860000,0.23182500,3275835.62,3275835,,1323401
2021-08-18T00:00:00Z,0.20812500,0.23415000,0.19100000,0.21810000,5039744.86,0.20812500,0.23415000,0.19100000,0.21810000,3448429.26,3448429,,1591315
2021-08-17T00:00:00Z,0.23437500,0.25150000,0.20140000,0.20767500,5877291.17,0.23437500,0.25150000,0.20140000,0.20767500,3757814.75,3757814,,2119476
2021-08-16T00:00:00Z,0.23725000,0.26800000,0.22900000,0.23407500,5433306.77,0.23725000,0.26800000,0.22900000,0.23407500,5433306.77,5433306,,
2021-08-15T00:00:00Z,0.21995000,0.25000000,0.19500000,0.23725000,2849377.24,0.21995000,0.25000000,0.19500000,0.23725000,2849377.24,2849377,,
2021-08-14T00:00:00Z,0.26222500,0.26230000,0.19417500,0.21980000,3131840.08,0.26222500,0.26230000,0.19417500,0.21980000,3131840.08,3131840,,
2021-08-13T00:00:00Z,0.22075000,0.27600000,0.20400000,0.26230000,6502582.25,0.22075000,0.27600000,0.20400000,0.26230000,6502582.25,6502582,,
2021-08-12T00:00:00Z,0.20447500,0.25450000,0.16440000,0.22110000,10420971.43,0.20447500,0.25450000,0.16440000,0.22110000,10420971.43,10420971,,
