timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2021-12-13T00:00:00Z,0.21941146,0.21990828,0.18787091,0.19280113,2959165.31,0.22436350,0.22472044,0.18797880,0.19353596,905180.38,905180,1752860,0,301124
2021-12-12T00:00:00Z,0.22662549,0.22788781,0.21192211,0.21326409,2475163.94,0.22708702,0.22850832,0.22298895,0.22436941,287914.43,287914,1956490,0,230759
2021-12-11T00:00:00Z,0.22481918,0.22882614,0.22206239,0.22686323,2782173.11,0.22333411,0.22731042,0.22189843,0.22699794,375877.26,375877,2281211,0,125084
2021-12-10T00:00:00Z,0.24929090,0.25002465,0.22266830,0.22384050,3369083.66,0.25227814,0.25313343,0.22247977,0.22326666,1119384.82,1119384,1952989,0,296709
2021-12-09T00:00:00Z,0.26052891,0.26211203,0.24714599,0.24971562,3588493.53,0.26149044,0.26317240,0.24963080,0.25237643,1272716.15,1272716,2092955,0,222822
2021-12-08T00:00:00Z,0.26217636,0.26672029,0.25756621,0.25860629,2665795.92,0.25985149,0.26699975,0.25968119,0.26082491,353660.70,353660,2126379,0,185756
2021-12-07T00:00:00Z,0.26253420,0.26837496,0.25799597,0.26206809,2915976.58,0.25976430,0.26919588,0.25870417,0.25959612,330572.03,330572,2288447,0,296957
2021-12-06T00:00:00Z,0.25585138,0.26199315,0.24740714,0.26110009,3008910.10,0.25678676,0.26069480,0.24618398,0.26008842,854672.80,854672,1599416,0,554820
2021-12-05T00:00:00Z,0.26856071,0.27049633,0.25072367,0.25631414,2291709.44,0.27090308,0.27226814,0.25154872,0.25743393,583808.94,583808,1144566,0,563334
2021-12-04T00:00:00Z,0.29696597,0.32006655,0.25899423,0.26941495,4137247.19,0.30038451,0.32150526,0.25903901,0.27058356,1754306.97,1754306,1627756,0,755183
2021-12-03T00:00:00Z,0.31327401,0.31585972,0.29252336,0.29614864,2742558.00,0.31487689,0.31714784,0.29724497,0.30030942,1121576.31,1121576,1270567,0,350414
2021-12-02T00:00:00Z,0.31060517,0.32357132,0.29567654,0.31315832,2891633.49,0.31258963,0.32541826,0.29503447,0.31491138,1212896.84,1212896,1386429,0,292306
2021-12-01T00:00:00Z,0.30207946,0.31599869,0.29831775,0.31014066,2708699.08,0.30022357,0.31635049,0.29874306,0.31260550,900445.23,900445,1402743,0,405510
2021-11-30T00:00:00Z,0.31573330,0.31864443,0.29263048,0.30132948,3388362.99,0.31728231,0.31901071,0.29245214,0.30023515,1688500.35,1688500,1318328,0,381534
2021-11-29T00:00:00Z,0.28704247,0.32747160,0.28131263,0.31516536,3713273.54,0.28418721,0.32820165,0.28046660,0.31654083,1846507.83,1846507,1315988,0,550777
2021-11-28T00:00:00Z,0.28348733,0.29224014,0.26835276,0.28817725,2721516.34,0.28526738,0.28713101,0.26805781,0.28375970,1099723.89,1099723,1285156,0,336635
2021-11-27T00:00:00Z,0.29002592,0.29443361,0.27882017,0.28032366,3035462.28,0.29034225,0.29604006,0.28453281,0.28599615,444017.03,444017,2289393,0,302051
2021-11-26T00:00:00Z,0.30701078,0.31153533,0.27811630,0.29016743,4805844.80,0.31178180,0.31430810,0.27775390,0.29041410,1697169.42,1697169,2476608,0,632066
2021-11-25T00:00:00Z,0.30240436,0.32003467,0.29404418,0.30596768,3774114.37,0.29872729,0.32020785,0.29847791,0.31164949,1229015.48,1229015,2238750,0,306348
2021-11-24T00:00:00Z,0.31573143,0.31876641,0.29706811,0.30211081,4161040.38,0.31843071,0.31866593,0.29639277,0.29877641,1321569.71,1321569,2241074,0,598396
2021-11-23T00:00:00Z,0.31094291,0.32464127,0.30492308,0.31472391,3554146.48,0.30908105,0.32605721,0.30852926,0.31873916,756970.57,756970,2493986,0,303189
2021-11-22T00:00:00Z,0.31933038,0.32316357,0.30512255,0.31040544,3807071.84,0.32097041,0.32421264,0.30505538,0.30908732,1096992.59,1096992,2359002,0,351076
2021-11-21T00:00:00Z,0.32302548,0.32665796,0.31343612,0.31854657,3414942.13,0.32466679,0.32773733,0.31506596,0.32097732,674663.32,674663,2380363,0,359914
2021-11-20T00:00:00Z,0.32437061,0.33368588,0.31077167,0.32374913,3548362.15,0.32932193,0.33578578,0.31022795,0.32533836,800805.64,800805,2313162,0,434393
2021-11-19T00:00:00Z,0.31084333,0.33081689,0.30344329,0.32697156,5026665.80,0.30843170,0.33006468,0.30211604,0.32963803,1748625.63,1748625,2239878,0,1038161
2021-11-18T00:00:00Z,0.32962809,0.33641549,0.30472206,0.31054753,5510552.57,0.33077254,0.33792851,0.30479226,0.30858952,2268511.15,2268511,2263577,0,978463
2021-11-17T00:00:00Z,0.34292147,0.34577081,0.31864444,0.32931664,5141079.15,0.34553546,0.34708887,0.31813246,0.33074199,1774066.59,1774066,2407491,0,959521
2021-11-16T00:00:00Z,0.37731010,0.37796063,0.33807885,0.34360719,5797685.43,0.38138661,0.38182819,0.33989899,0.34562153,2461480.40,2461480,2547237,0,788967
2021-11-15T00:00:00Z,0.36255601,0.40626580,0.35724652,0.37832637,6649477.48,0.35918557,0.40797804,0.35910311,0.38170050,3222881.00,3222880,2692947,0,733649
2021-11-14T00:00:00Z,0.36061830,0.38024146,0.35483896,0.36988226,3561211.30,0.35877871,0.36656875,0.35365851,0.35917844,731038.60,731038,2515690,0,314481
2021-11-13T00:00:00Z,0.35835075,0.36477922,0.34916951,0.36065333,3602540.42,0.36026969,0.36322476,0.34902407,0.35879018,712583.89,712583,2534603,0,355352
2021-11-12T00:00:00Z,0.37099501,0.40122395,0.34580388,0.35974452,6029430.42,0.37370314,0.40683458,0.34543307,0.36041847,2621823.32,2621823,2673321,0,734286
2021-11-11T00:00:00Z,0.37177387,0.38447983,0.35925324,0.36913129,4542200.15,0.37024839,0.38522918,0.36121544,0.37337811,1418100.19,1418100,2567345,0,556754
2021-11-10T00:00:00Z,0.39116940,0.40183328,0.36301180,0.37176496,6309490.04,0.38968137,0.40188202,0.36310808,0.37074425,2406549.87,2406549,2763945,0,1138994
2021-11-09T00:00:00Z,0.42005432,0.43664459,0.38489484,0.39058425,8481466.23,0.42121482,0.43861930,0.38539085,0.38972613,4288017.13,4288017,2778337,0,1415112
2021-11-08T00:00:00Z,0.40457384,0.43095892,0.40387160,0.41930332,5690925.41,0.40374243,0.42931890,0.40317538,0.42157788,2021390.42,2021390,2646884,0,1022650
2021-11-07T00:00:00Z,0.42467196,0.43159329,0.39604902,0.40453523,6371973.03,0.42513917,0.43301485,0.39608634,0.40392907,2599673.11,2599673,2500468,0,1271831
2021-11-06T00:00:00Z,0.37856267,0.42616589,0.37593583,0.42480447,6158174.74,0.37552682,0.42536017,0.37258224,0.42526464,2781173.33,2781173,2502588,0,874412
2021-11-05T00:00:00Z,0.38599988,0.41792872,0.37091469,0.37935230,5976648.75,0.38688013,0.41988544,0.37068467,0.37595985,2538999.19,2538999,2655248,0,782401
2021-11-04T00:00:00Z,0.38092022,0.44857469,0.36223897,0.38638366,11350309.95,0.38157418,0.45010002,0.36215683,0.38670865,6840381.34,6840381,2680525,0,1829403
2021-11-03T00:00:00Z,0.30069032,0.38600734,0.29980557,0.38065081,9904520.82,0.29917250,0.38227209,0.29842335,0.38172666,5009632.86,5009632,2341758,1139952,1413177
2021-11-02T00:00:00Z,0.29707193,0.31840918,0.29171476,0.30178409,5591253.17,0.29540530,0.31723177,0.29095887,0.29885213,1958990.39,1958990,1950933,948691,732638
2021-11-01T00:00:00Z,0.28881344,0.29896799,0.27335909,0.29704255,5384343.60,0.28955082,0.29705774,0.27191302,0.29516284,1750679.75,1750679,1938134,936999,758530
2021-10-31T00:00:00Z,0.29312150,0.29651227,0.27747395,0.28873523,5113398.19,0.29382223,0.29738864,0.27760012,0.28953587,1596998.13,1596998,1932708,917544,666147
2021-10-30T00:00:00Z,0.29174505,0.29727109,0.28684672,0.29304764,5376814.57,0.29121181,0.29739364,0.28811878,0.29385536,1641350.32,1641350,2268494,925341,541628
2021-10-29T00:00:00Z,0.27643203,0.29599859,0.27505562,0.29175020,5295282.43,0.27418574,0.29590234,0.27349602,0.29095068,1742965.92,1742965,2148869,939321,464125
2021-10-28T00:00:00Z,0.26630040,0.27885895,0.25682664,0.27618311,5242993.41,0.26492119,0.27696055,0.25536359,0.27426727,1857682.22,1857682,1852429,903044,629836
2021-10-27T00:00:00Z,0.29466248,0.30100421,0.26083655,0.26551348,6454572.22,0.29548223,0.30200491,0.26059931,0.26460112,3037901.86,3037901,1699700,839715,877254
